dimension_id,dimension_index,fine_cluster,coarse_cluster,image_occurrence_count,image_prevalence,city_balanced_prevalence,mean_patch_share_all_images,mean_patch_share_when_present,strong_activation_count,strong_activation_prevalence,city_balanced_strong_activation_prevalence,mean_activation_share_all_images,mean_activation_share_when_strong
D000,0,F000,C000,1305,0.00344492605947975,0.0034515586103846707,0.0003719006305434918,0.026640081319884275,9439,0.02491697860186158,0.02490317626195476,0.0018749580095490741,0.07524820884218256
D001,1,F001,C001,9,2.375811075503276e-05,2.4123953528850465e-05,7.407574215004545e-06,0.022108843537414966,9929,0.02621047574296892,0.026511470348446056,0.0017255769244717324,0.06583539121508034
D002,2,F002,C002,8600,0.02270219472147575,0.022922666202058024,0.0012965544490106228,0.031319411485524445,18493,0.04881763802142454,0.04914194403709454,0.005187934266005936,0.10627171809764974
D003,3,F003,C003,2200,0.005807538184563563,0.005817239118237107,0.0003774091720961043,0.030871985157699445,11323,0.029890343119915105,0.029984020597095932,0.0023157345381757052,0.07747433774464756
D004,4,F003,C003,1,2.639790083892529e-06,2.612330198537095e-06,1.1717435576461736e-06,0.025510204081632654,9432,0.02489850007127433,0.024986404737039346,0.0017359934002235764,0.0697228104204723
D005,5,F004,C004,11373,0.03002233262410973,0.029980588949297848,0.001690691270515883,0.03323347276130183,6545,0.017277426099076603,0.017264158225519115,0.0012233209709607547,0.07080458419822937
D006,6,F005,C005,44,0.00011615076369127126,0.00011578511045854424,9.239265293623852e-06,0.030728200371057515,8822,0.02328822812009989,0.023217950897602004,0.0013885801685697323,0.05962584020599057
D007,7,F006,C006,2496,0.0065889160493957525,0.00660199763915234,0.00033351592779301374,0.0344142464678179,17611,0.04648934316743133,0.04649595941725932,0.005322661952759835,0.11449208765093265
D008,8,F007,C007,179,0.0004725224250167627,0.0004739773290215034,3.315899584971126e-05,0.03865009691027249,18973,0.05008473726169295,0.0503999840382513,0.004140941428213254,0.08267870921587986
D009,9,F008,C008,1107,0.0029222476228690296,0.0028988918896902457,0.000325179039721945,0.025855870803605994,9674,0.025537329271576325,0.025342501622278576,0.003327944968847553,0.1303168758743945
D010,10,F009,C009,1170,0.0030885543981542586,0.0030838784144588635,0.00023558779667065365,0.029905808477237047,7220,0.01905928440570406,0.019030377379901736,0.0016328008165949674,0.08566957614139507
D011,11,F010,C004,72843,0.19229022908098348,0.19216306492803958,0.009692406810830811,0.03900428010255212,10399,0.027451177082398408,0.027395394257834237,0.002219547197614574,0.080854354294255
D012,12,F003,C003,37,9.767223310402357e-05,9.789922323050483e-05,1.9933108796739505e-05,0.024544953116381687,4115,0.010862736195217756,0.01095535031004125,0.0007579292787997362,0.06977333014249294
D013,13,F011,C010,161,0.00042500620350669713,0.0004269732227878127,3.641832850431325e-05,0.03118265939916339,8965,0.02366571810209652,0.023746812747729364,0.0017082721221681684,0.07218340532911335
D014,14,F012,C011,70,0.00018478530587247703,0.00019145590212125223,1.5946487037391604e-05,0.027478134110787172,9402,0.024819306368757555,0.025230178029418692,0.0017658210714958209,0.07114707579896871
D015,15,F013,C012,38728,0.10223379036898986,0.1021299373542767,0.0055678560195995255,0.03472452035968281,12821,0.033844748665586115,0.033743360569779605,0.0028362016050646494,0.08380034471783639
D016,16,F014,C013,2002,0.005284859747952843,0.0052695942706510205,0.0004915127516406834,0.02535984423739526,7448,0.019661156544831554,0.019593992558269976,0.002018305013217088,0.10265443991633606
D017,17,F015,C014,316,0.0008341736665100391,0.0008306243408487439,8.582011436001629e-05,0.028464866959442003,8619,0.022752350733069707,0.022645649867519352,0.0014656565594131517,0.06441780792711119
